Item_Name,Price,Rating,Total_Rating
"I KALL Z8 4G Smartphone (3GB, 16GB) (Grey)","4,999",5.0 out of 5 stars,1
"Samsung Galaxy M32 (Light Blue, 6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime","16,999",4.2 out of 5 stars,"31,881"
"Samsung Galaxy M32 5G (Slate Black, 8GB RAM, 128GB Storage)","22,999",4.2 out of 5 stars,"22,903"
Lava A1 2021(Blue Silver),"1,066",3.9 out of 5 stars,"1,379"
"Redmi 9A Sport (Carbon Black, 3GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","7,999",3.8 out of 5 stars,363
"Tecno Spark 8 Pro (Turquoise Cyan, 7GB Expandable RAM 64GB Storage) 33W Fast Charger | Helio G85 Gaming Processor | 6.8"" FHD+Dot-in Display | 48MP Triple Camera","9,999",4.2 out of 5 stars,"147,472"
"Jio Phone Next 32 GB, 2 GB RAM, Blue Smartphone","5,645",4.3 out of 5 stars,569
"Samsung Galaxy A22 5G (Mint, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","19,999",3.5 out of 5 stars,18
"Tecno Spark Go 2022 (Turquoise Cyan, 2/32GB) | 5000mAh Battery| 6.52"" HD+ Display | 13MP Dual Rear Camera| Front Flash| Stylish Design","7,499",3.9 out of 5 stars,"1,003"
"OnePlus 9R 5G (Carbon Black, 12GB RAM, 256 GB Storage)","43,999",3.9 out of 5 stars,70
"Samsung Galaxy M32 (Black, 6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime","16,999",4.4 out of 5 stars,"38,188"
"Redmi 9 Activ (Carbon Black, 6GB RAM, 128GB Storage)","11,499",4.2 out of 5 stars,"31,881"
"I KALL Z7 Smartphone (4GB, 32GB) (Blue)","6,499",4.2 out of 5 stars,"145,231"
"I KALL Z1 Smartphone (4GB, 32GB) (Blue)","5,499",5.0 out of 5 stars,2
Redmi 10 Prime (Bifrost Blue 4GB RAM 64GB ROM |Helio G88 with extendable RAM Upto 2GB |FHD+ 90Hz Adaptive Sync Display),"16,499",2.6 out of 5 stars,5
"Redmi Note 10T 5G (Metallic Blue, 6GB RAM, 128GB Storage) | Dual 5G | 90Hz Adaptive Refresh Rate | MediaTek Dimensity 700 7nm Processor",14499,4.1 out of 5 stars,"29,079"
